hanzi,traditional,pinyin,pinyin_numeric,hsk_level,frequency,pos,meaning_en,meaning_ko,classifiers
数码,數碼,shù mǎ,shu4 ma3,5,6016,n,number; numerals; figures; digital; amount; numerical code,,
摔,摔,shuāi,shuai1,5,3263,v,to throw down; to fall; to drop and break,,
甩,甩,shuǎi,shuai3,5,3672,v,to throw; to fling; to swing; to leave behind; to throw off; to dump (sb),,
双方,雙方,shuāng fāng,shuang1 fang1,5,2714,n,bilateral; both sides; both parties involved,,
税,稅,shuì,shui4,5,3627,n,taxes; duties,,
说不定,說不定,shuō bu dìng,shuo1 bu5 ding4,5,4677,v,can't say for sure; maybe,,
说服,說服,shuō fú,shuo1 fu2,5,4892,v/vn,to persuade; to convince; to talk sb over; Taiwan pr. [shuì fú],,
丝绸,絲綢,sī chóu,si1 chou2,5,12230,n,silk cloth; silk,,
丝毫,絲毫,sī háo,si1 hao2,5,5484,m/a/n,the slightest amount or degree; a bit,,
私人,私人,sī rén,si1 ren2,5,2449,n,private; personal; interpersonal; sb with whom one has a close personal relationship; a member of one's clique,,
思考,思考,sī kǎo,si1 kao3,5,2231,v/vn,to reflect on; to ponder over,,
思想,思想,sī xiǎng,si1 xiang3,5,1525,n,thought; thinking; idea; ideology,,个
撕,撕,sī,si1,5,5814,v,to tear,,
寺庙,寺廟,sì miào,si4 miao4,5,14797,n,temple; monastery; shrine,,
宿舍,宿舍,sù shè,su4 she4,5,4045,n,dormitory; dorm room; living quarters; hostel,,间
随时,隨時,suí shí,sui2 shi2,5,2085,d,at any time; at all times; at the right time; whenever necessary,,
碎,碎,suì,sui4,5,2313,a/v,(transitive or intransitive verb) to break into pieces; to shatter; to crumble; broken; fragmentary; scattered; garrulous,,
损失,損失,sǔn shī,sun3 shi1,5,1930,n/v,loss; damage; to lose; to suffer damage,,个
缩短,縮短,suō duǎn,suo1 duan3,5,9438,v,to curtail; to cut down,,
缩小,縮小,suō xiǎo,suo1 xiao3,5,5320,v/vn,to reduce; to decrease; to shrink,,
所,所,suǒ,suo3,5,159,u/q/n,"actually; place; classifier for houses, small buildings, institutions etc; that which; particle introducing a relative clause or passive",,个
所谓,所謂,suǒ wèi,suo3 wei4,5,1616,v/vn,so-called; what is called,,
锁,鎖,suǒ,suo3,5,2607,v/n,to lock; to lock up; a lock,,把
塔,塔,tǎ,ta3,5,2198,n/b,pagoda; tower; minaret; stupa (abbr. loanword from Sanskrit tapo),,座
台阶,臺階,tái jiē,tai2 jie1,5,7435,n,steps; flight of steps; step (over obstacle); fig. way out of an embarrassing situation; bench (geology),,
太极拳,太極拳,tài jí quán,tai4 ji2 quan2,5,31592,n,"shadowboxing or Taiji, T'aichi or T'aichichuan; traditional form of physical exercise or relaxation; a martial art",,
太太,太太,tài tai,tai4 tai5,5,3823,n,married woman; Mrs.; Madam; wife,,个/位
谈判,談判,tán pàn,tan2 pan4,5,2830,vn/v,to negotiate; negotiation; talks; conference,,个
坦率,坦率,tǎn shuài,tan3 shuai4,5,11926,a/ad,frank (discussion); blunt; open,,
烫,燙,tàng,tang4,5,4676,v/a,to scald; to burn (by scalding); to blanch (cooking); to heat (sth) up in hot water; to perm; to iron; scalding hot,,
逃,逃,táo,tao2,5,2056,v/vn,to escape; to run away; to flee,,
逃避,逃避,táo bì,tao2 bi4,5,4735,v/vn,to escape; to evade; to avoid; to shirk,,
桃,桃,táo,tao2,5,6265,n,peach,,
套,套,tào,tao4,5,715,q/v/g,"to cover; to encase; cover; sheath; to overlap; to interleave; to model after; to copy; formula; harness; loop of rope; (fig.) to fish for; to obtain slyly; classifier for sets, collections; bend (of a river or mountain range, in place names); tau (Greek letter Ττ)",,
特殊,特殊,tè shū,te4 shu1,5,1632,a/ad,special; particular; unusual; extraordinary,,
特意,特意,tè yì,te4 yi4,5,6391,d,specially; intentionally,,
特征,特徵,tè zhēng,te4 zheng1,5,3497,n,characteristic; diagnostic property; distinctive feature; trait,,
